"Draw","Date","Winning_Number_1","Winning_Number_2","Winning_Number_3","Winning_Number_4","Winning_Number_5","Winning_Number_6","Additional_Number_","From_Last","Odd","Even","_1-10","_11-20","_21-30","_31-40","_41-50","Division_1_Winners","Division_1_Prize","Division_2_Winners","Division_2_Prize","Division_3_Winners","Division_3_Prize","Division_4_Winners","Division_4_Prize","Division_5_Winners","Division_5_Prize","Division_6_Winners","Division_6_Prize","Division_7_Winners","Division_7_Prize","division_1_total_amount","division_2_total_amount","division_3_total_amount","division_4_total_amount","division_5_total_amount","division_6_total_amount","division_7_total_amount","number_of_winners","total_amount_given"
"3727","3/1/2022","6","12","20","33","46","47","49","12","2","4","1","2","0","1","2","1","2919972","3","122890","156","1625","323","429","7114","50","9046","25","138644","10","2919972","368670","253500","138567","355700","226150","1386440","155287","5648999"
"3726","30/12/2021","4","7","12","13","21","35","29","13","4","2","2","2","1","1","0","0","0","3","82021","150","1128","345","268","7493","50","9279","25","123300","10","0","246063","169200","92460","374650","231975","1233000","140570","2347348"
"3725","27/12/2021","3","9","13","23","24","44","7","44","4","2","2","1","2","0","1","1","1185706","2","124812","122","1407","390","241","6300","50","11817","25","111327","10","1185706","249624","171654","93990","315000","295425","1113270","129959","3424669"
"3724","23/12/2021","1","21","35","39","44","45","42","","5","1","1","0","1","2","2","1","5123553","2","251116","173","1996","370","510","9751","50","12332","25","177425","10","5123553","502232","345308","188700","487550","308300","1774250","200054","8729893"
"3723","20/12/2021","4","5","16","18","24","34","27","","1","5","2","2","1","1","0","0","0","5","68577","176","1340","342","376","7748","50","10480","25","138973","10","0","342885","235840","128592","387400","262000","1389730","157724","2746447"
"3722","16/12/2021","6","26","27","37","40","43","49","40","3","3","1","0","2","2","1","0","0","3","77843","72","2230","185","474","4258","50","4938","25","81139","10","0","233529","160560","87690","212900","123450","811390","90595","1629519"
"3721","13/12/2021","5","18","19","23","40","49","20","","4","2","1","2","1","1","1","1","1171190","4","61642","107","1585","271","342","5282","50","7880","25","98244","10","1171190","246568","169595","92682","264100","197000","982440","111789","3123575"
"3720","9/12/2021","1","17","30","31","42","43","46","42,43","4","2","1","1","1","1","2","1","1131910","2","119149","90","1821","167","536","4036","50","4611","25","77536","10","1131910","238298","163890","89512","201800","115275","775360","86443","2716045"
"3719","6/12/2021","7","16","33","37","42","43","48","","4","2","1","1","0","2","2","2","2636860","2","273205","198","1898","495","414","10488","50","13937","25","198163","10","5273720","546410","375804","204930","524400","348425","1981630","223285","9255319"
"3718","2/12/2021","6","12","22","23","40","49","25","12","2","4","1","1","2","1","1","0","0","2","156894","96","2248","321","367","6364","50","9236","25","124189","10","0","313788","215808","117807","318200","230900","1241890","140208","2438393"
