"Draw","Date","Grouping","Number_of_winners","Prize_money"
"3425","22/11/2018","Group 1","1","2443241"
"3424","19/11/2018","Group 1","0","0"
"3423","15/11/2018","Group 1","1","1065842"
"3422","12/11/2018","Group 1","1","1114830"
"3421","8/11/2018","Group 1","1","4823063"
"3420","5/11/2018","Group 1","0","0"
"3419","1/11/2018","Group 1","0","0"
"3418","29/10/2018","Group 1","2","543019"
"3417","25/10/2018","Group 1","2","4494271"
"3416","22/10/2018","Group 1","0","0"
"3415","18/10/2018","Group 1","0","0"
"3414","15/10/2018","Group 1","0","0"
"3413","11/10/2018","Group 1","1","2526098"
"3412","8/10/2018","Group 1","0","0"
"3411","4/10/2018","Group 1","2","549348"
"3410","1/10/2018","Group 1","1","2627854"
"3409","27/9/2018","Group 1","0","0"
"3408","24/9/2018","Group 1","0","0"
"3407","20/9/2018","Group 1","0","0"
"3406","17/9/2018","Group 1","0","0"
"3405","13/9/2018","Group 1","0","0"
"3404","10/9/2018","Group 1","1","1105314"
"3403","6/9/2018","Group 1","1","2492871"
"3402","3/9/2018","Group 1","0","0"
"3401","30/8/2018","Group 1","2","1287741"
"3400","27/8/2018","Group 1","0","0"
"3399","23/8/2018","Group 1","2","1249894"
"3398","20/8/2018","Group 1","0","0"
"3397","16/8/2018","Group 1","1","1109639"
"3396","13/8/2018","Group 1","2","1356932"
"3395","9/8/2018","Group 1","0","0"
"3394","6/8/2018","Group 1","1","1172948"
"3393","2/8/2018","Group 1","0","0"
"3392","30/7/2018","Group 1","0","0"
"3391","26/7/2018","Group 1","0","0"
"3390","23/7/2018","Group 1","0","0"
"3389","19/7/2018","Group 1","2","2337719"
"3388","16/7/2018","Group 1","0","0"
"3387","12/7/2018","Group 1","0","0"
"3386","9/7/2018","Group 1","1","4817647"
"3385","5/7/2018","Group 1","0","0"
"3384","2/7/2018","Group 1","0","0"
"3383","28/6/2018","Group 1","1","2586729"
"3382","25/6/2018","Group 1","0","0"
"3381","21/6/2018","Group 1","2","2378806"
"3380","18/6/2018","Group 1","0","0"
"3379","14/6/2018","Group 1","0","0"
"3378","11/6/2018","Group 1","0","0"
"3377","7/6/2018","Group 1","0","0"
"3376","4/6/2018","Group 1","0","0"
"3375","31/5/2018","Group 1","0","0"
"3374","28/5/2018","Group 1","1","4878135"
"3373","24/5/2018","Group 1","0","0"
"3372","21/5/2018","Group 1","0","0"
"3371","17/5/2018","Group 1","4","2304738"
"3370","14/5/2018","Group 1","0","0"
"3369","10/5/2018","Group 1","0","0"
"3368","7/5/2018","Group 1","0","0"
"3367","3/5/2018","Group 1","2","1305224"
"3366","30/4/2018","Group 1","0","0"
"3365","26/4/2018","Group 1","1","2626004"
"3364","23/4/2018","Group 1","0","0"
"3363","19/4/2018","Group 1","1","1113634"
"3362","16/4/2018","Group 1","1","1131733"
"3361","12/4/2018","Group 1","5","1899609"
"3360","9/4/2018","Group 1","0","0"
"3359","5/4/2018","Group 1","0","0"
"3358","2/4/2018","Group 1","0","0"
"3357","29/3/2018","Group 1","3","855036"
"3356","26/3/2018","Group 1","0","0"
"3355","22/3/2018","Group 1","1","1116951"
"3354","19/3/2018","Group 1","1","2826396"
"3353","15/3/2018","Group 1","0","0"
"3352","12/3/2018","Group 1","1","5055761"
"3351","8/3/2018","Group 1","0","0"
"3350","5/3/2018","Group 1","0","0"
"3349","2/3/2018","Group 1","2","6013609"
"3348","26/2/2018","Group 1","2","819090"
"3347","22/2/2018","Group 1","1","1428828"
"3346","19/2/2018","Group 1","1","5460952"
"3345","15/2/2018","Group 1","0","0"
"3344","12/2/2018","Group 1","0","0"
"3343","9/2/2018","Group 1","2","3181107"
"3342","5/2/2018","Group 1","0","0"
"3341","1/2/2018","Group 1","2","588205"
"3340","29/1/2018","Group 1","2","613137"
"3339","25/1/2018","Group 1","1","2683719"
"3338","22/1/2018","Group 1","0","0"
"3337","18/1/2018","Group 1","1","8614827"
"3336","15/1/2018","Group 1","0","0"
"3335","11/1/2018","Group 1","0","0"
"3334","8/1/2018","Group 1","0","0"
"3333","5/1/2018","Group 1","0","0"
"3332","1/1/2018","Group 1","0","0"
"3331","28/12/2017","Group 1","0","0"
"3330","25/12/2017","Group 1","0","0"
"3329","21/12/2017","Group 1","1","1084370"
"3328","18/12/2017","Group 1","2","572571"
"3327","14/12/2017","Group 1","1","4390479"
"3326","11/12/2017","Group 1","0","0"
"3325","7/12/2017","Group 1","0","0"
"3324","4/12/2017","Group 1","1","7979860"
"3323","30/11/2017","Group 1","0","0"
"3322","27/11/2017","Group 1","0","0"
"3321","23/11/2017","Group 1","0","0"
"3320","20/11/2017","Group 1","1","1145119"
"3319","16/11/2017","Group 1","1","4699342"
"3318","13/11/2017","Group 1","0","0"
"3317","9/11/2017","Group 1","0","0"
"3316","6/11/2017","Group 1","0","0"
"3315","2/11/2017","Group 1","0","0"
"3314","30/10/2017","Group 1","0","0"
"3313","26/10/2017","Group 1","0","0"
"3312","23/10/2017","Group 1","2","4033779"
"3311","19/10/2017","Group 1","0","0"
"3310","16/10/2017","Group 1","0","0"
"3309","12/10/2017","Group 1","0","0"
"3308","9/10/2017","Group 1","1","8380725"
"3307","5/10/2017","Group 1","0","0"
"3306","2/10/2017","Group 1","0","0"
"3305","28/9/2017","Group 1","0","0"
"3304","25/9/2017","Group 1","2","1282131"
"3303","21/9/2017","Group 1","0","0"
